Id,Name,Place,Type,Price,ReviewsCount,Rating,City,State
173,Hôtel Frenchie,Haarlem,Deluxe Room,13185,172,8.9,Haarlem,
174,Boutiquehotel Staats,Haarlem,Deluxe Room,13798,713,8.9,Haarlem,
175,Brasss Hotel Suites,Haarlem,Junior Suite Amazon,15399,922,8.9,Haarlem,
176,Haarlem Hotel Suites,Haarlem,Suite Kleine Hout 4,15842,522,8.8,Haarlem,
177,Hotel De Zoete Inval Haarlemmerliede,Haarlem,Comfort Twin Room,7950,500,8.4,Haarlem,
178,Anegang Boutique Hotel,Haarlem,Economy Twin Room,8817,229,8.3,Haarlem,
179,Carlton Square Hotel,Haarlem,Standard Double or Twin Room,10287,1052,8.3,Haarlem,
180,The Guestroom - B&B,Haarlem,Queen Studio,10859,267,8.4,Haarlem,
181,Amrâth Grand Hotel Frans Hals,Haarlem,Deluxe Twin Room,11882,1730,8,Haarlem,
182,Haarlem Apart Hotel,Haarlem,Quadruple Room with Private Bathroom,20554,154,8.3,Haarlem,
183,Stayokay Hostel Haarlem,Haarlem,Bed in 6-Bed Mixed Dorm with Shower,5408,500,7.7,Haarlem,
184,Amadeus Hotel,Haarlem,Budget Double Room,6515,1281,7.7,Haarlem,
185,Ambassador City Centre Hotel,Haarlem,Comfort Room,9005,807,7.7,Haarlem,
186,Bed and Breakfast Haarlem 1001 Nacht,Haarlem,Luxury Quadruple Room,12487,748,7.8,Haarlem,
187,Hotel Carillon,Haarlem,Double Room with Shower,7368,542,5.5,Haarlem,
188,Hotel Bries Den Haag - Scheveningen,The Hague,Standard Suite,10568,303,9,The Hague,
189,COVE Centrum,The Hague City Centre; The Hague,Studio Apartments,10454,451,9,The Hague City Centre, The Hague
190,La Paulowna Boutique Hotel,The Hague City Centre; The Hague,Standard King Room,11642,500,9.3,The Hague City Centre, The Hague
191,Hotel Pistache Den Haag,The Hague City Centre; The Hague,Standard Suite,12093,365,9.1,The Hague City Centre, The Hague
192,Boutique Hotel Havenkantoor,Laak; The Hague,One-Bedroom Apartment,13182,7,9.1,Laak, The Hague
193,The Collector Hotel,The Hague City Centre; The Hague,The Cabinet <double standard>,13745,3136,9.2,The Hague City Centre, The Hague
194,'t Goude Hooft,The Hague City Centre; The Hague,Deluxe Suite,19536,375,9,The Hague City Centre, The Hague
195,Stadsvilla Hotel Mozaic Den Haag,The Hague City Centre; The Hague,Deluxe Double Room,10989,1299,8.9,The Hague City Centre, The Hague
196,Boutique Hotel First City,The Hague City Centre; The Hague,Deluxe Double Room,11348,887,8.8,The Hague City Centre, The Hague
197,voco The Hague; an IHG Hotel,The Hague City Centre; The Hague,Queen Room with Atrium View,11728,500,8.7,The Hague City Centre, The Hague
198,Boutique Hotel De Salon,The Hague City Centre; The Hague,Superior King Room,11943,1018,8.8,The Hague City Centre, The Hague
199,Carlton Ambassador,The Hague City Centre; The Hague,Standard Double Room,12332,500,8.5,The Hague City Centre, The Hague
200,Babylon Hotel Den Haag,Haagse Hout; The Hague,Standard Twin Room,12462,500,8.5,Haagse Hout, The Hague
201,The Sunny Suite - R.Q.C.,The Hague City Centre; The Hague,One-Bedroom Apartment,12981,46,8.8,The Hague City Centre, The Hague
202,Boutique Hotel Corona,The Hague City Centre; The Hague,Comfort Room City View,13858,3337,8.5,The Hague City Centre, The Hague
203,Hotel Indigo The Hague - Palace Noordeinde; an IHG Hotel,The Hague City Centre; The Hague,Standard Room,13961,500,8.8,The Hague City Centre, The Hague
204,Hotel Excelsior,The Hague,Standard Triple Room,14288,293,8.9,The Hague,
205,Staybridge Suites The Hague - Parliament; an IHG Hotel,The Hague City Centre; The Hague,Studio Suite Queen Bed,15839,500,8.7,The Hague City Centre, The Hague
206,Mövenpick Hotel The Hague,The Hague City Centre; The Hague,Classic King Room,16827,1000,8.9,The Hague City Centre, The Hague
207,Hotel Broer & Zus,The Hague City Centre; The Hague,Two-Bedroom Suite,18811,16,8.5,The Hague City Centre, The Hague
208,The Student Hotel The Hague,The Hague City Centre; The Hague,Executive Queen Room,5704,500,8.3,The Hague City Centre, The Hague
209,En Suite,Segbroek; The Hague,Double Room,6422,455,8,Segbroek, The Hague
210,Staten Hotel,The Hague,Double or Twin Room,7756,484,8.2,The Hague,
211,Riva hotel Den Haag - Delft,The Hague,Standard Double Room,8112,2125,8.4,The Hague,
212,Park Centraal Den Haag,The Hague City Centre; The Hague,Comfort Double,8838,500,8.3,The Hague City Centre, The Hague
213,NinetyNine Amsterdam Airport,Hoofddorp,Double Room,8377,751,8.5,Hoofddorp,
214,Executive Residency by Best Western Amsterdam Airport,Hoofddorp,Comfort Double Room with Kitchenette,9103,994,8.5,Hoofddorp,
215,Novotel Amsterdam Schiphol Airport,Hoofddorp,Standard Room with Double Bed and One Sofa Bed,11022,500,8.5,Hoofddorp,
216,Hyatt Place Amsterdam Airport,Hoofddorp,King Room,11173,500,8.5,Hoofddorp,
217,Maxhotel Amsterdam Airport Schiphol,Hoofddorp,Small Double Room,6776,500,8,Hoofddorp,
218,IntercityHotel Amsterdam Airport,Hoofddorp,Double Room,8243,40,8.4,Hoofddorp,
219,Moxy Amsterdam Schiphol Airport,Hoofddorp,MOXY Sleeper Queen,8736,349,8.3,Hoofddorp,
220,The Florian Amsterdam Airport,Hoofddorp,Double Room,8744,500,8.4,Hoofddorp,
221,NH Amsterdam Schiphol Airport,Hoofddorp,Standard Double or Twin Room,9062,500,8.4,Hoofddorp,
222,Hampton by Hilton Amsterdam Airport Schiphol,Hoofddorp,Double Room,9438,2683,8,Hoofddorp,
223,Courtyard by Marriott Amsterdam Airport,Hoofddorp,Standard Queen Room with Two Queen Beds,10581,754,8.1,Hoofddorp,
224,Van der Valk Hotel A4 Schiphol,Hoofddorp,Superior Twin Room,10869,3753,8.3,Hoofddorp,
225,Wim's Place Amsterdam Airport / Hoofddorp,Hoofddorp,Deluxe Double Room (2 Adults + 1 Child),38780,500,8.2,Hoofddorp,
226,Floriande Bed & Breakfast,Hoofddorp,Deluxe Room,6123,138,7.6,Hoofddorp,
227,Bastion Hotel Amsterdam Airport,Hoofddorp,Deluxe Twin Room,8083,500,7.6,Hoofddorp,
228,Holiday Inn Express Amsterdam - Schiphol; an IHG Hotel,Hoofddorp,Standard Double or Twin,10214,1842,7.8,Hoofddorp,
229,Hotel De Beurs,Hoofddorp,Business Double Room,11430,557,7.7,Hoofddorp,
230,Best Western Plus Amsterdam Airport Hotel,Hoofddorp,Deluxe Twin Room,7674,500,7.1,Hoofddorp,
231,Bastion Hotel Schiphol Hoofddorp,Hoofddorp,Comfort Twin Room,6858,500,6.9,Hoofddorp,
232,Cosy Cityhouse Leeuwarden,Leeuwarden,One-Bedroom House,10189,142,9.1,Leeuwarden,
233,B&B De Olde Signorie,Leeuwarden,Triple Room,13498,500,9.4,Leeuwarden,
234,Post-Plaza Hotel & Grand Café,Leeuwarden,Comfort Twin Room,8465,2474,8.8,Leeuwarden,
235,Van der Valk Hotel Leeuwarden,Leeuwarden,Deluxe Twin Room,9148,1039,8.9,Leeuwarden,
236,Stadslogies in Leeuwarden,Leeuwarden,Deluxe Double Studio,9389,375,8.7,Leeuwarden,
237,B&B De Dream,Leeuwarden,Deluxe Single Room,11913,500,8.9,Leeuwarden,
238,Guesthouse De Kleyne Sint Jacob,Leeuwarden,Double Room with Terrace,6662,40,8.3,Leeuwarden,
239,WestCord WTC Hotel Leeuwarden,Leeuwarden,Comfort Room,8144,500,8.3,Leeuwarden,
240,Oranje Hotel Leeuwarden,Leeuwarden,Standard Room,8337,1725,8.4,Leeuwarden,
241,Hotel & Restaurant Weidumerhout,Leeuwarden,Superior Double Room with Shower / Bath,9797,500,8.3,Leeuwarden,
242,Boutique hotel WKNDS,Leeuwarden,Deluxe Twin Room,9915,482,8.1,Leeuwarden,
243,In de Brouwerij,Leeuwarden,Superior Double Room,10610,264,8.4,Leeuwarden,
244,City Penthouse Mademoiselle Anna Louise,Leeuwarden,Penthouse Apartment,11639,500,8.4,Leeuwarden,
245,City House Grande Madame Agaath,Leeuwarden,Deluxe Two-Bedroom Apartment,13332,500,8,Leeuwarden,
246,Bastion Hotel Leeuwarden,Leeuwarden,Comfort Twin Room,7266,500,7.6,Leeuwarden,
247,City Boutique Ster Logies Leeuwarden De Roos,Leeuwarden,Small Comfort Twin Room,7759,500,7.6,Leeuwarden,
248,Eurohotel,Leeuwarden,Standard Double Room,8426,2662,7.5,Leeuwarden,
249,Fletcher Hotel Paleis Stadhouderlijk Hof,Leeuwarden,Comfort Double Room with Shower,10532,2394,7.4,Leeuwarden,
250,Studio in the city center of Leeuwarden,Leeuwarden,One-Bedroom Apartment,4303,71,6.7,Leeuwarden,
251,Op de woonboot in Leeuwarden!,Leeuwarden,Two-Bedroom House,7215,,,Leeuwarden,
252,Dormio Resort Maastricht Castellum Apartments,Maastricht,One-Bedroom Apartment,18533,3,9.7,Maastricht,
253,BEAUMONT Maastricht,Wijck; Maastricht,New Deluxe Room,31677,948,8.5,Wijck, Maastricht
254,Bourgogne Suite Maastricht,Wijck; Maastricht,Deluxe Double Room superior,34428,500,8.9,Wijck, Maastricht
255,The Green Elephant Hostel & Spa,Wijck; Maastricht,Private Pod in Mixed Dormitory Room,11806,1864,8.4,Wijck, Maastricht
256,Stayokay Hostel Maastricht,Jekerkwartier; Maastricht,6 Person Room with Private Bathroom and Shower,14696,500,8.3,Jekerkwartier, Maastricht
257,Dormio Resort Maastricht Apartments,Maastricht,Comfort One-Bedroom Apartment,15443,967,8.4,Maastricht,
258,Dormio Hotel De Prins van Oranje,Maastricht,Deluxe Twin Room,18459,1149,8.3,Maastricht,
259,Dormio Resort Maastricht,Maastricht,Comfort Two-Bedroom House,20569,715,8.2,Maastricht,
260,Townhouse Apartments,Wijck; Maastricht,Large Studio Apartment,22048,500,8.1,Wijck, Maastricht
261,Kaboom Hotel Maastricht,Wijck; Maastricht,Comfort Quadruple Room,22725,3193,8.1,Wijck, Maastricht
262,easyHotel Maastricht City Centre,Maastricht City Centre; Maastricht,Triple Room,24819,3576,8,Maastricht City Centre, Maastricht
263,"city Apartment ""Op de Thermen""",Maastricht City Centre; Maastricht,Two-Bedroom Apartment,30616,98,8.2,Maastricht City Centre, Maastricht
264,Hotel Monastère Maastricht,Boschstraatkwartier; Maastricht,Twin Room,32443,3772,8,Boschstraatkwartier, Maastricht
265,Townhouse Design Hotel & Spa,Wijck; Maastricht,Large Double Room,23440,2655,7.9,Wijck, Maastricht
266,Bastion Hotel Maastricht Centrum,Boschstraatkwartier; Maastricht,Deluxe King Room,25228,500,7.5,Boschstraatkwartier, Maastricht
267,Derlon Hotel Maastricht,Maastricht City Centre; Maastricht,Deluxe Twin or Double Room,33970,1223,7.9,Maastricht City Centre, Maastricht
268,NH Maastricht,Randwijck; Maastricht,Standard Double or Twin Room,52252,500,7.9,Randwijck, Maastricht
269,Crowne Plaza Maastricht; an IHG Hotel,Wijck; Maastricht,Executive King Room,53439,2510,7.6,Wijck, Maastricht
270,Botel Maastricht,Jekerkwartier; Maastricht,Family Room (6 Adults) with Shared Shower and Toilet,30534,1342,6.7,Jekerkwartier, Maastricht
271,Bed & Breakfast Adrichem en Scherpenseel,Middelburg,Forsyth,10385,232,9.2,Middelburg,
272,B&B Montancourt-Middelburg,Middelburg,Twin Room,10614,372,9,Middelburg,
273,Logement 't Oude Bierhuys,Middelburg,Double Room,11022,817,9.1,Middelburg,
274,Logies aan de Dam,Middelburg,Deluxe Room,11430,3,9.3,Middelburg,
275,B&B 't Poorthuys,Middelburg,Junior Suite,11512,651,9.4,Middelburg,
276,Budget Hotel Le Beau Rivage,Middelburg,Small Double Room with Shower ,12165,394,9.3,Middelburg,
277,Hotel Le Beau Rivage,Middelburg,Superior Double Room,15920,278,9.2,Middelburg,
278,Boutique Hotel De Vier Patriciërs,Middelburg,Deluxe Room,20329,192,9.3,Middelburg,
279,Hotel Bruno,Middelburg,Budget Twin Room,6940,528,8.6,Middelburg,
280,Studio 82 b,Middelburg,One-Bedroom Apartment,7095,51,8.5,Middelburg,
281,Studio 82 a,Middelburg,One-Bedroom Apartment,8487,64,8.5,Middelburg,
282,Cleen Rochelle,Middelburg,Deluxe Studio,8899,78,8.5,Middelburg,
283,Stadsstudio 't Stadshuys in hartje Middelburg,Middelburg,One-Bedroom Apartment,9552,5,8.6,Middelburg,
284,Logement de Spaerpot,Middelburg,Double Room with Private Bathroom,9797,164,8.9,Middelburg,
285,Loskade 45,Middelburg,Deluxe Double Room with Balcony,12165,1050,8.9,Middelburg,
286,ApartHotel Waepen van Middelburg,Middelburg,Deluxe King Studio,12246,500,8.9,Middelburg,
287,bednextdoor,Middelburg,Deluxe Double Studio,12246,234,8.8,Middelburg,
288,Van der Valk Hotel Middelburg,Middelburg,Standard Twin Room,14206,1315,8.8,Middelburg,
289,Hotel Brasserie de Huifkar,Middelburg,Double Room with City View,10032,326,8.1,Middelburg,
290,De Kaepstander,Middelburg,Double Room with Private Bathroom,12002,281,8.4,Middelburg,
291,Hotel en privé-wellness De Nieuwe Doelen,Middelburg,Superior Double Room,13879,1312,8.2,Middelburg,
292,Hotel Middelburg,Middelburg,Twin Room,10894,1240,7.7,Middelburg,
293,Fletcher Hotel-Restaurant Middelburg,Middelburg,Small Double Room,12165,947,7.2,Middelburg,
294,Fletcher Hotel-Restaurant Arneville-Middelburg,Middelburg,Double Room,12981,500,7.3,Middelburg,
295,Verrassende Loft BNB centrum Middelburg,Middelburg,Three-Bedroom Apartment,17250,1,5,Middelburg,
296,Hotel Oranjestaete,Nijmegen,Studio - Souterrain,9797,1021,9.2,Nijmegen,
297,Hotel Sleep-Inn Box 5,Nijmegen,Double Room,12246,520,9.2,Nijmegen,
298,Boutique Hotel Straelman,Nijmegen,Double Room,13798,324,9.4,Nijmegen,
299,B&B Stadsoase Nijmegen,Nijmegen,Two-Bedroom House,24493,42,9.3,Nijmegen,
300,Van der Valk Hotel Nijmegen-Lent,Nijmegen,Standard Double Room,10042,500,8.8,Nijmegen,
301,Blue Inspired by Manna,Nijmegen,Small Double Room,11348,1081,8.7,Nijmegen,
302,Manna,Nijmegen,Studio S Charity,12165,388,8.7,Nijmegen,
303,B&B Appartementen Smedery,Nijmegen,Deluxe Apartment,12246,57,8.6,Nijmegen,
304,Studio RoSa,Nijmegen,Studio Apartment,7330,86,8.3,Nijmegen,
305,Van der Valk Cuijk - Nijmegen,Nijmegen,Comfort Room,7960,500,8.1,Nijmegen,
306,Mercure Hotel Nijmegen Centre,Nijmegen,Standard Double Room,9307,1343,8.2,Nijmegen,
307,Hotel Credible,Nijmegen,Budget Double Room,13496,935,8.4,Nijmegen,
308,Sanadome Nijmegen,Nijmegen,Deluxe Double or Twin Room with Spa Access,15920,725,8,Nijmegen,
309,Bastion Hotel Nijmegen,Nijmegen,Deluxe King Room,8491,500,7.8,Nijmegen,
310,Hotel Courage Waalkade,Nijmegen,Standard Room with Park View,8654,1467,7.7,Nijmegen,
311,Hotel Pauw,Nijmegen,Budget Twin Room,9879,368,7.8,Nijmegen,
312,Hotel de Prince,Nijmegen,Premium Double Room,10668,500,7.8,Nijmegen,
313,Hotel De Gulden Waagen,Nijmegen,Double Room,19594,500,7.8,Nijmegen,
314,De Hemel De Kracht van Ambacht,Nijmegen,Junior Suite,8328,94,7,Nijmegen,
315,Apollo Hotel,Nijmegen,Twin Room,8981,1172,7.4,Nijmegen,
316,B&B N10,Roermond,Deluxe King Room,11348,500,9.6,Roermond,
317,De Pastorie Bed & Breakfast,Roermond,Twin Room,8550,923,9.2,Roermond,
318,B&B De Hofnar Roermond,Roermond,Standard Twin Room,8573,509,9.1,Roermond,
319,Grand Hotel Valies,Roermond,Comfort Triple Room with Shower,13389,3288,9.1,Roermond,
320,Het Arresthuis,Roermond,Comfort Double Room,15839,500,9.4,Roermond,
321,Kasteeltje Hattem,Roermond,Junior Suite,16247,240,9.3,Roermond,
322,Hotel Dux,Roermond,Executive Double Room,16655,1232,9.2,Roermond,
323,Hotel Restaurant Café Parkzicht,Roermond,Double Room,6662,694,8.9,Roermond,
324,B&B Willem II,Roermond,Twin Room with Private Bathroom,8613,1118,8.8,Roermond,
325,BBDeStaete,Roermond,King Room with Balcony,9924,107,8.8,Roermond,
326,Nero Office Hotel & City Café,Roermond,Standard Double or Twin Room,10306,507,8.5,Roermond,
327,De Oolderhof,Roermond,Junior Suite,10777,992,8.7,Roermond,
328,Hotel Roermond,Roermond,Suite,12655,3272,8.7,Roermond,
329,Hotel en Grand Café De Pauw,Roermond,Standard Double Room,7756,765,8,Roermond,
330,Hotel Roermond Next Door,Roermond,Comfort Twin Room,7756,1088,8,Roermond,
331,Hotel de Abdij,Roermond,Triple Room,11838,846,8.1,Roermond,
332,Van der Valk TheaterHotel De Oranjerie,Roermond,Comfort Double or Twin Room,13716,500,8.3,Roermond,
333,De Roermondse beleving,Roermond,Twin Room with Shower,6565,500,7.7,Roermond,
334,Hotel Asselt,Roermond,Standard Twin Room,8409,782,7.4,Roermond,
335,Fletcher Landhotel Bosrijk Roermond,Roermond,Small Double Room,8491,942,6.5,Roermond,
336,Bed and Breakfast Rotterdam,Delfshaven; Rotterdam,Double Room with Private External Bathroom,6794,244,9.1,Delfshaven, Rotterdam
337,Hotel âme,Centrum; Rotterdam,Small Basic Room,8862,167,9.1,Centrum, Rotterdam
338,Suitehotel Pincoffs,Feijenoord; Rotterdam,Double Room with Mezzanine,10781,500,9,Feijenoord, Rotterdam
339,Bed; Bites & Business Hotel Rotterdam,Feijenoord; Rotterdam,Double Room with Balcony,12854,500,9.2,Feijenoord, Rotterdam
340,Sparks Hostel,Centrum; Rotterdam,Comfort Quadruple Room,15186,1635,9,Centrum, Rotterdam
341,Wikkelboat Nr1 at Floating Rotterdam Rijnhaven,Feijenoord; Rotterdam,Two-Bedroom House,19542,500,9.2,Feijenoord, Rotterdam
342,Wikkelboat Nr5 at Floating Rotterdam Rijnhaven,Feijenoord; Rotterdam,Three-Bedroom House,36489,500,9,Feijenoord, Rotterdam
343,CityHub Rotterdam,Centrum; Rotterdam,Hub,5925,500,8.8,Centrum, Rotterdam
